<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.11.24	06:40:00	4047.06	4047.39	4045.06	4046.68	1809	0	7
2025.11.24	06:45:00	4046.68	4046.76	4042.96	4044.61	1821	0	7
2025.11.24	06:50:00	4044.60	4045.53	4042.72	4043.85	1539	0	7
2025.11.24	06:55:00	4043.88	4045.06	4042.37	4044.10	1669	0	7
2025.11.24	07:00:00	4044.10	4045.27	4043.02	4045.25	1657	0	7
2025.11.24	07:05:00	4045.25	4046.85	4044.49	4045.61	1524	0	7
2025.11.24	07:10:00	4045.60	4046.20	4043.12	4045.60	1381	0	7
2025.11.24	07:15:00	4045.59	4048.05	4044.61	4044.96	1764	0	7
2025.11.24	07:20:00	4044.94	4046.78	4040.13	4046.13	2093	0	7
2025.11.24	07:25:00	4046.14	4047.19	4043.61	4047.09	1585	0	7
2025.11.24	07:30:00	4047.25	4047.66	4042.46	4045.57	2337	0	7
2025.11.24	07:35:00	4045.59	4047.77	4043.84	4046.69	2225	0	7
2025.11.24	07:40:00	4046.69	4049.53	4045.80	4048.55	2036	0	7
2025.11.24	07:45:00	4048.55	4048.63	4041.42	4042.04	2285	0	7
2025.11.24	07:50:00	4042.03	4044.98	4041.90	4042.95	2203	0	7
2025.11.24	07:55:00	4042.92	4047.48	4041.82	4046.37	1929	0	7
2025.11.24	08:00:00	4046.39	4051.87	4045.56	4051.68	2074	0	7
2025.11.24	08:05:00	4051.68	4054.50	4050.88	4051.50	2403	0	7
2025.11.24	08:10:00	4051.47	4052.02	4048.82	4049.78	1837	0	7
2025.11.24	08:15:00	4049.78	4050.05	4047.95	4049.70	1817	0	7
2025.11.24	08:20:00	4049.70	4054.25	4048.39	4054.13	1987	0	7
2025.11.24	08:25:00	4054.13	4056.42	4052.61	4052.83	2196	0	7
2025.11.24	08:30:00	4052.83	4056.67	4052.53	4056.10	1764	0	7
2025.11.24	08:35:00	4056.10	4056.89	4054.47	4055.89	1600	0	7
2025.11.24	08:40:00	4055.88	4058.16	4055.07	4056.98	1968	0	7
2025.11.24	08:45:00	4056.97	4057.17	4055.26	4056.42	1754	0	7
2025.11.24	08:50:00	4056.41	4056.85	4052.21	4053.08	1972	0	7
2025.11.24	08:55:00	4053.09	4055.21	4052.43	4053.40	2010	0	7
2025.11.24	09:00:00	4053.40	4057.33	4051.54	4057.32	2309	0	7
2025.11.24	09:05:00	4057.32	4057.60	4053.65	4054.86	2030	0	7
2025.11.24	09:10:00	4054.86	4055.57	4053.09	4053.79	1648	0	7
2025.11.24	09:15:00	4053.80	4056.64	4052.48	4055.62	1720	0	7
2025.11.24	09:20:00	4055.62	4056.27	4053.18	4054.12	1661	0	7
2025.11.24	09:25:00	4054.11	4054.24	4052.01	4052.60	1612	0	7
2025.11.24	09:30:00	4052.62	4059.61	4052.52	4058.51	2099	0	7
2025.11.24	09:35:00	4058.51	4063.56	4057.10	4058.80	2247	0	7
2025.11.24	09:40:00	4058.79	4067.04	4058.21	4063.97	2237	0	7
2025.11.24	09:45:00	4063.96	4067.67	4062.49	4062.63	1852	0	7
2025.11.24	09:50:00	4062.61	4062.63	4058.42	4060.85	1526	0	7
2025.11.24	09:55:00	4060.85	4060.87	4058.52	4060.01	1412	0	7
2025.11.24	10:00:00	4060.01	4064.76	4059.88	4062.10	2267	0	7
2025.11.24	10:05:00	4062.10	4064.76	4061.56	4062.45	1717	0	7
2025.11.24	10:10:00	4062.45	4064.45	4060.96	4061.79	1612	0	7
2025.11.24	10:15:00	4061.79	4065.83	4061.49	4064.44	1743	0	7
2025.11.24	10:20:00	4064.45	4066.23	4060.51	4060.81	1707	0	7
2025.11.24	10:25:00	4060.80	4064.24	4059.65	4063.01	1816	0	7
2025.11.24	10:30:00	4063.01	4063.61	4060.67	4061.15	1480	0	7
2025.11.24	10:35:00	4061.15	4063.01	4060.13	4062.78	1570	0	7
2025.11.24	10:40:00	4062.77	4063.75	4061.31	4063.58	1426	0	7
2025.11.24	10:45:00	4063.58	4066.95	4062.66	4065.19	1969	0	7
2025.11.24	10:50:00	4065.19	4066.85	4064.45	4064.53	1700	0	7
2025.11.24	10:55:00	4064.53	4065.82	4062.49	4063.47	1498	0	7
2025.11.24	11:00:00	4063.46	4066.95	4063.12	4065.97	1824	0	7
2025.11.24	11:05:00	4065.97	4069.59	4065.43	4068.29	1839	0	7
2025.11.24	11:10:00	4068.37	4074.21	4068.15	4072.06	2102	0	7
2025.11.24	11:15:00	4072.05	4073.01	4070.07	4072.68	2222	0	7
2025.11.24	11:20:00	4072.63	4073.71	4068.74	4068.74	1920	0	7
2025.11.24	11:25:00	4068.71	4070.25	4066.92	4068.75	2405	0	7
2025.11.24	11:30:00	4068.74	4070.38	4067.69	4068.01	1830	0	7
2025.11.24	11:35:00	4068.02	4072.60	4067.84	4072.25	1811	0	7
2025.11.24	11:40:00	4072.26	4072.87	4069.17	4070.23	1778	0	7
2025.11.24	11:45:00	4070.23	4071.13	4067.01	4069.59	1647	0	7
2025.11.24	11:50:00	4069.61	4071.35	4065.78	4071.22	1982	0	7
2025.11.24	11:55:00	4071.23	4072.62	4069.33	4071.91	1974	0	7
2025.11.24	12:00:00	4071.94	4077.23	4071.54	4073.92	1872	0	7
2025.11.24	12:05:00	4073.99	4076.41	4071.59	4072.57	1846	0	7
2025.11.24	12:10:00	4072.57	4074.60	4070.98	4073.12	1827	0	7
2025.11.24	12:15:00	4073.15	4077.04	4071.93	4072.48	1707	0	7
2025.11.24	12:20:00	4072.47	4072.47	4068.61	4068.76	1963	0	7
2025.11.24	12:25:00	4068.75	4071.91	4068.47	4070.37	1931	0	7
2025.11.24	12:30:00	4070.39	4070.98	4066.33	4067.90	2208	0	7
2025.11.24	12:35:00	4067.90	4069.18	4066.16	4067.07	2024	0	7
2025.11.24	12:40:00	4067.09	4071.10	4066.32	4070.36	1559	0	7
2025.11.24	12:45:00	4070.33	4070.98	4068.66	4068.73	1163	0	7
2025.11.24	12:50:00	4068.68	4068.68	4063.44	4065.77	1602	0	7
2025.11.24	12:55:00	4065.77	4066.69	4063.86	4064.01	1472	0	7
2025.11.24	13:00:00	4064.03	4066.34	4063.22	4065.48	1348	0	7
2025.11.24	13:05:00	4065.48	4068.12	4064.22	4067.89	1523	0	7
2025.11.24	13:10:00	4067.89	4068.46	4066.10	4066.73	1397	0	7
2025.11.24	13:15:00	4066.74	4069.45	4066.60	4068.63	1459	0	7
2025.11.24	13:20:00	4068.63	4070.58	4068.39	4068.86	1429	0	7
2025.11.24	13:25:00	4068.86	4070.43	4067.90	4070.30	1486	0	7
2025.11.24	13:30:00	4070.30	4071.10	4068.71	4068.96	1637	0	7
2025.11.24	13:35:00	4068.97	4069.20	4067.14	4069.03	1637	0	7
2025.11.24	13:40:00	4069.01	4071.12	4067.75	4070.42	1755	0	7
2025.11.24	13:45:00	4070.44	4071.73	4069.14	4069.32	1697	0	7
2025.11.24	13:50:00	4069.31	4071.03	4069.10	4069.55	1658	0	7
2025.11.24	13:55:00	4069.54	4071.15	4069.54	4070.04	1530	0	7
2025.11.24	14:00:00	4070.04	4073.73	4069.38	4073.10	1782	0	7
2025.11.24	14:05:00	4073.11	4074.22	4069.00	4069.06	1750	0	7
2025.11.24	14:10:00	4069.06	4069.06	4065.78	4068.83	1954	0	7
2025.11.24	14:15:00	4068.84	4070.30	4067.52	4068.59	1696	0	7
2025.11.24	14:20:00	4068.59	4070.35	4067.90	4069.73	1499	0	7
2025.11.24	14:25:00	4069.73	4071.36	4067.94	4070.85	1361	0	7
2025.11.24	14:30:00	4070.85	4075.07	4070.67	4074.88	2065	0	7
2025.11.24	14:35:00	4074.88	4076.46	4074.76	4075.36	1709	0	7
2025.11.24	14:40:00	4075.36	4080.50	4074.31	4079.20	2054	0	7
2025.11.24	14:45:00	4079.14	4082.43	4079.14	4082.15	2018	0	7
2025.11.24	14:50:00	4082.18	4084.10	4077.33	4078.00	2157	0	7
2025.11.24	14:55:00	4078.01	4080.40	4077.22	4080.40	1778	0	7
2025.11.24	15:00:00	4080.46	4081.77	4076.73	4080.13	2734	0	7
2025.11.24	15:05:00	4080.13	4081.68	4075.97	4079.63	2481	0	7
2025.11.24	15:10:00	4079.87	4080.80	4077.41	4078.32	1980	0	7
2025.11.24	15:15:00	4078.34	4081.61	4077.41	4081.42	1878	0	7
2025.11.24	15:20:00	4081.43	4085.03	4079.66	4079.98	2633	0	7
2025.11.24	15:25:00	4079.98	4082.04	4078.53	4080.62	1947	0	7
2025.11.24	15:30:00	4080.61	4085.95	4080.61	4083.85	2188	0	7
2025.11.24	15:35:00	4083.85	4085.84	4080.90	4081.06	2133	0	7
2025.11.24	15:40:00	4081.06	4081.79	4074.72	4077.38	2397	0	7
2025.11.24	15:45:00	4077.40	4080.92	4076.35	4076.66	2258	0	7
2025.11.24	15:50:00	4076.67	4077.84	4073.81	4077.37	2277	0	7
2025.11.24	15:55:00	4077.37	4078.76	4076.36	4077.76	2052	0	7
2025.11.24	16:00:00	4077.77	4081.88	4077.69	4079.25	2272	0	7
2025.11.24	16:05:00	4079.25	4080.51	4076.04	4079.77	2392	0	7
2025.11.24	16:10:00	4079.80	4083.13	4079.14	4079.94	2211	0	7
2025.11.24	16:15:00	4079.93	4081.09	4076.24	4077.21	1955	0	7
2025.11.24	16:20:00	4077.23	4078.15	4073.99	4076.51	2342	0	7
2025.11.24	16:25:00	4076.51	4077.46	4074.79	4075.62	1988	0	7
2025.11.24	16:30:00	4075.62	4079.01	4070.88	4076.73	3439	0	7
2025.11.24	16:35:00	4076.70	4077.70	4071.15	4071.95	3338	0	7
2025.11.24	16:40:00	4071.94	4075.85	4068.45	4073.72	3434	0	7
2025.11.24	16:45:00	4073.73	4078.95	4072.30	4077.73	3325	0	7
2025.11.24	16:50:00	4077.73	4084.65	4076.11	4081.41	3319	0	7
2025.11.24	16:55:00	4081.41	4086.01	4081.12	4081.37	3110	0	7
2025.11.24	17:00:00	4081.39	4085.97	4081.27	4084.46	3119	0	7
2025.11.24	17:05:00	4084.48	4090.98	4084.45	4089.60	3220	0	7
2025.11.24	17:10:00	4089.58	4093.50	4088.55	4092.35	3340	0	7
2025.11.24	17:15:00	4092.34	4093.84	4090.06	4090.90	3092	0	7
2025.11.24	17:20:00	4090.91	4092.90	4089.06	4090.20	3107	0	7
2025.11.24	17:25:00	4090.20	4092.02	4087.24	4088.18	3205	0	7
2025.11.24	17:30:00	4088.19	4093.06	4087.14	4092.07	2987	0	7
2025.11.24	17:35:00	4092.10	4092.74	4089.25	4090.98	2727	0	7
2025.11.24	17:40:00	4090.97	4093.52	4090.35	4093.22	2283	0	7
2025.11.24	17:45:00	4093.22	4093.63	4091.72	4092.90	2363	0	7
2025.11.24	17:50:00	4093.02	4093.46	4090.47	4090.62	2504	0	7
2025.11.24	17:55:00	4090.68	4092.43	4089.45	4091.81	2626	0	7
2025.11.24	18:00:00	4091.81	4093.96	4089.82	4092.75	2804	0	7
2025.11.24	18:05:00	4092.74	4093.50	4090.28	4093.12	2443	0	7
2025.11.24	18:10:00	4093.12	4095.54	4091.56	4094.88	2336	0	7
2025.11.24	18:15:00	4094.90	4095.29	4092.23	4093.32	2055	0	7
2025.11.24	18:20:00	4093.32	4094.90	4092.29	4093.91	2036	0	7
2025.11.24	18:25:00	4093.89	4095.17	4092.49	4092.50	2046	0	7
2025.11.24	18:30:00	4092.50	4097.76	4092.12	4096.40	2297	0	7
2025.11.24	18:35:00	4096.40	4098.95	4095.67	4096.66	2580	0	7
2025.11.24	18:40:00	4096.65	4098.39	4095.04	4097.87	2229	0	7
2025.11.24	18:45:00	4097.90	4098.63	4096.60	4096.72	1872	0	7
2025.11.24	18:50:00	4096.72	4097.60	4095.09	4095.28	1990	0	7
2025.11.24	18:55:00	4095.32	4098.36	4094.99	4097.33	2229	0	7
2025.11.24	19:00:00	4097.33	4099.74	4097.07	4097.29	2142	0	7
2025.11.24	19:05:00	4097.31	4098.01	4094.70	4094.94	2088	0	7
2025.11.24	19:10:00	4094.93	4094.95	4091.73	4092.03	2311	0	7
2025.11.24	19:15:00	4092.05	4093.48	4088.98	4090.62	2209	0	7
2025.11.24	19:20:00	4090.62	4094.61	4090.58	4094.17	2245	0	7
2025.11.24	19:25:00	4094.17	4094.76	4092.86	4093.50	1884	0	7
2025.11.24	19:30:00	4093.54	4094.96	4092.65	4094.85	1669	0	7
2025.11.24	19:35:00	4094.90	4095.64	4093.73	4094.71	1603	0	7
2025.11.24	19:40:00	4094.72	4096.09	4094.48	4095.29	1761	0	7
2025.11.24	19:45:00	4095.29	4099.49	4094.95	4099.49	1640	0	7
2025.11.24	19:50:00	4099.51	4100.41	4096.57	4097.34	2345	0	7
2025.11.24	19:55:00	4097.31	4097.36	4092.68	4092.97	1912	0	7
2025.11.24	20:00:00	4092.97	4093.53	4090.73	4091.33	1991	0	7
2025.11.24	20:05:00	4091.32	4091.50	4088.16	4090.64	2172	0	7
2025.11.24	20:10:00	4090.64	4091.54	4089.07	4090.18	1699	0	7
2025.11.24	20:15:00	4090.14	4091.53	4089.54	4090.95	1792	0	7
2025.11.24	20:20:00	4090.96	4094.02	4090.93	4092.29	1951	0	7
2025.11.24	20:25:00	4092.35	4095.75	4092.17	4095.70	1966	0	7
2025.11.24	20:30:00	4095.71	4100.39	4095.66	4098.82	2114	0	7
2025.11.24	20:35:00	4098.80	4112.69	4098.13	4111.68	2459	0	7
2025.11.24	20:40:00	4111.68	4114.75	4110.73	4112.79	2983	0	7
2025.11.24	20:45:00	4112.81	4115.51	4110.41	4112.45	2284	0	7
2025.11.24	20:50:00	4112.55	4125.75	4111.46	4120.20	3216	0	7
2025.11.24	20:55:00	4120.16	4121.47	4118.98	4120.54	2304	0	7
2025.11.24	21:00:00	4120.56	4124.20	4118.68	4119.50	2366	0	7
2025.11.24	21:05:00	4119.48	4120.66	4118.60	4119.96	1776	0	7
2025.11.24	21:10:00	4119.95	4121.38	4116.68	4116.83	1875	0	7
2025.11.24	21:15:00	4116.82	4120.65	4115.00	4119.58	2212	0	7
2025.11.24	21:20:00	4119.59	4120.18	4117.08	4119.07	1549	0	7
2025.11.24	21:25:00	4119.06	4119.71	4115.48	4119.09	2040	0	7
2025.11.24	21:30:00	4119.09	4119.50	4116.73	4117.32	1821	0	7
2025.11.24	21:35:00	4117.32	4117.37	4114.07	4114.76	1797	0	7
2025.11.24	21:40:00	4114.75	4117.01	4114.10	4116.15	1660	0	7
2025.11.24	21:45:00	4116.15	4119.98	4115.89	4119.12	1570	0	7
2025.11.24	21:50:00	4119.13	4120.55	4118.48	4119.61	1822	0	7
2025.11.24	21:55:00	4119.61	4121.24	4118.21	4118.56	1845	0	7
2025.11.24	22:00:00	4118.57	4123.72	4118.05	4120.96	2241	0	7
2025.11.24	22:05:00	4120.96	4123.81	4120.42	4120.86	1739	0	7
2025.11.24	22:10:00	4120.86	4123.54	4120.45	4122.03	1535	0	7
2025.11.24	22:15:00	4122.03	4124.57	4121.26	4123.73	1675	0	7
2025.11.24	22:20:00	4123.73	4125.69	4123.47	4124.22	1618	0	7
2025.11.24	22:25:00	4124.21	4124.97	4122.20	4124.89	1664	0	7
2025.11.24	22:30:00	4124.89	4131.21	4124.78	4129.18	2257	0	7
2025.11.24	22:35:00	4129.20	4133.54	4128.62	4131.46	2225	0	7
2025.11.24	22:40:00	4131.47	4132.39	4129.41	4131.47	1836	0	7
2025.11.24	22:45:00	4131.46	4132.06	4128.81	4129.88	1722	0	7
2025.11.24	22:50:00	4129.85	4132.02	4129.01	4130.18	1824	0	7
2025.11.24	22:55:00	4130.18	4133.45	4129.74	4132.70	2265	0	7
2025.11.24	23:00:00	4132.70	4133.70	4130.41	4130.45	1326	0	7
2025.11.24	23:05:00	4130.45	4132.69	4130.15	4131.72	850	0	7
2025.11.24	23:10:00	4131.72	4132.12	4130.89	4131.91	813	0	7
2025.11.24	23:15:00	4131.93	4133.19	4131.81	4132.78	485	0	7
2025.11.24	23:20:00	4132.78	4132.84	4131.07	4132.05	662	0	7
2025.11.24	23:25:00	4132.04	4132.46	4131.14	4132.35	731	0	7
2025.11.24	23:30:00	4132.36	4132.91	4131.23	4132.87	747	0	7
2025.11.24	23:35:00	4132.88	4133.72	4132.87	4133.25	609	0	7
2025.11.24	23:40:00	4133.25	4139.24	4133.18	4139.23	807	0	7
2025.11.24	23:45:00	4139.23	4139.88	4137.40	4139.69	1238	0	7
2025.11.24	23:50:00	4139.67	4139.68	4136.84	4137.66	1094	0	7
2025.11.24	23:55:00	4137.66	4137.67	4133.74	4134.08	539	0	7
2025.11.25	01:00:00	4135.52	4136.14	4133.48	4135.54	592	0	7
2025.11.25	01:05:00	4135.54	4138.78	4133.93	4134.68	1126	0	7
2025.11.25	01:10:00	4134.67	4135.53	4125.19	4129.09	1948	0	7
2025.11.25	01:15:00	4129.19	4133.16	4127.58	4127.98	1817	0	7
2025.11.25	01:20:00	4127.99	4129.65	4127.89	4129.63	1402	0	7
2025.11.25	01:25:00	4129.64	4132.17	4129.60	4131.18	1141	0	7
2025.11.25	01:30:00	4131.17	4132.17	4128.78	4131.85	1152	0	7
2025.11.25	01:35:00	4131.84	4132.26	4130.39	4131.81	950	0	7
2025.11.25	01:40:00	4131.81	4136.15	4131.29	4136.01	1400	0	7
2025.11.25	01:45:00	4136.01	4141.71	4135.80	4139.41	2082	0	7
2025.11.25	01:50:00	4139.41	4143.98	4139.34	4140.14	1873	0	7
2025.11.25	01:55:00	4140.14	4144.32	4139.83	4143.83	1433	0	7
2025.11.25	02:00:00	4143.74	4144.47	4136.76	4139.50	2281	0	7
2025.11.25	02:05:00	4139.51	4142.20	4137.96	4141.71	1671	0	7
2025.11.25	02:10:00	4141.70	4141.92	4136.37	4136.42	1523	0	7
2025.11.25	02:15:00	4136.41	4136.67	4134.07	4135.99	1821	0	7
2025.11.25	02:20:00	4135.99	4140.40	4135.99	4139.54	1571	0	7
2025.11.25	02:25:00	4139.55	4139.89	4135.47	4135.53	1460	0	7
2025.11.25	02:30:00	4135.53	4136.68	4133.69	4134.33	1654	0	7
2025.11.25	02:35:00	4134.34	4135.74	4132.00	4134.61	1881	0	7
2025.11.25	02:40:00	4134.62	4137.08	4134.06	4135.09	1698	0	7
2025.11.25	02:45:00	4135.09	4136.24	4134.34	4135.48	1358	0	7
2025.11.25	02:50:00	4135.49	4135.49	4131.74	4132.66	1566	0	7
2025.11.25	02:55:00	4132.67	4133.19	4127.62	4129.59	2373	0	7
2025.11.25	03:00:00	4129.55	4132.45	4124.13	4132.14	3355	0	7
2025.11.25	03:05:00	4132.18	4136.08	4128.62	4129.67	2887	0	7
2025.11.25	03:10:00	4129.67	4129.98	4125.78	4128.37	2409	0	7
2025.11.25	03:15:00	4128.37	4128.87	4122.71	4124.98	2403	0	7
2025.11.25	03:20:00	4124.91	4127.87	4123.48	4126.30	2496	0	7
2025.11.25	03:25:00	4126.23	4128.28	4124.67	4127.46	2025	0	7
2025.11.25	03:30:00	4127.47	4131.52	4127.47	4130.69	2689	0	7
2025.11.25	03:35:00	4130.65	4138.77	4130.55	4137.64	2921	0	7
2025.11.25	03:40:00	4137.65	4139.23	4135.88	4136.75	2262	0	7
2025.11.25	03:45:00	4136.75	4137.03	4134.21	4135.10	2078	0	7
2025.11.25	03:50:00	4135.10	4135.38	4132.80	4133.27	1921	0	7
2025.11.25	03:55:00	4133.28	4137.50	4132.62	4134.77	2253	0	7
2025.11.25	04:00:00	4134.76	4140.69	4132.85	4140.58	2440	0	7
2025.11.25	04:05:00	4140.58	4141.98	4136.96	4138.49	2308	0	7
2025.11.25	04:10:00	4138.32	4138.99	4135.46	4136.50	2011	0	7
2025.11.25	04:15:00	4136.52	4145.69	4135.50	4145.34	1967	0	7
2025.11.25	04:20:00	4145.34	4145.61	4141.04	4144.98	2200	0	7
2025.11.25	04:25:00	4144.99	4145.56	4140.58	4144.78	1795	0	7
2025.11.25	04:30:00	4144.78	4147.51	4144.00	4146.12	2230	0	7
2025.11.25	04:35:00	4146.06	4149.46	4144.82	4148.92	2021	0	7
2025.11.25	04:40:00	4148.92	4152.50	4145.92	4152.08	2623	0	7
2025.11.25	04:45:00	4152.08	4155.84	4151.94	4155.42	2414	0	7
2025.11.25	04:50:00	4155.43	4155.54	4150.02	4151.01	2352	0	7
2025.11.25	04:55:00	4151.01	4151.99	4149.95	4150.86	1733	0	7
2025.11.25	05:00:00	4150.89	4150.92	4146.96	4148.60	2328	0	7
2025.11.25	05:05:00	4148.60	4150.51	4146.86	4149.20	1896	0	7
2025.11.25	05:10:00	4149.20	4150.52	4145.41	4146.04	2372	0	7
2025.11.25	05:15:00	4146.04	4147.70	4143.60	4144.16	2058	0	7
2025.11.25	05:20:00	4144.14	4145.77	4139.59	4142.61	2614	0	7
2025.11.25	05:25:00	4142.61	4145.97	4142.19	4145.34	1974	0	7
2025.11.25	05:30:00	4145.33	4145.34	4140.95	4142.49	1989	0	7
2025.11.25	05:35:00	4142.49	4145.33	4141.66	4143.09	1889	0	7
2025.11.25	05:40:00	4143.05	4145.66	4141.78	4145.02	1816	0	7
2025.11.25	05:45:00	4145.02	4145.57	4143.52	4145.38	1558	0	7
2025.11.25	05:50:00	4145.38	4145.39	4141.33	4143.34	1689	0	7
2025.11.25	05:55:00	4143.34	4144.08	4142.05	4143.26	1268	0	7
2025.11.25	06:00:00	4143.26	4143.74	4139.63	4139.67	1549	0	7
2025.11.25	06:05:00	4139.67	4145.89	4139.60	4142.87	1895	0	7
2025.11.25	06:10:00	4142.87	4145.06	4142.70	4144.94	1328	0	7
2025.11.25	06:15:00	4144.94	4148.07	4144.91	4145.50	1738	0	7
2025.11.25	06:20:00	4145.50	4147.73	4145.01	4145.99	1444	0	7
2025.11.25	06:25:00	4145.99	4146.50	4144.28	4146.23	1529	0	7
2025.11.25	06:30:00	4146.23	4146.71	4145.50	4146.64	1268	0	7
2025.11.25	06:35:00	4146.65	4148.37	4146.28	4147.56	1390	0	7
2025.11.25	06:40:00	4147.56	4147.90	4142.93	4145.31	1697	0	7
2025.11.25	06:45:00	4145.31	4146.35	4142.93	4143.29	1480	0	7
2025.11.25	06:50:00	4143.28	4144.77	4141.49	4142.16	1342	0	7
